epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,362.913,1.38086,2.09037,1.50566,0.68571,0.49331,0.55362,0.26441,1.60524,2.29794,1.63685,0.000472979,0.000472979,0.000472979
2,701.676,1.41343,1.60573,1.47672,0.61957,0.662,0.64602,0.32765,1.56267,2.0092,1.61966,0.000917985,0.000917985,0.000917985
3,1060.4,1.41498,1.44593,1.48089,0.60116,0.61305,0.60306,0.30542,1.54443,1.84413,1.62216,0.00133155,0.00133155,0.00133155
4,1397.07,1.41632,1.34919,1.47366,0.78598,0.68765,0.79817,0.39288,1.54827,1.45805,1.6188,0.00128753,0.00128753,0.00128753
5,1805.46,1.36712,1.20193,1.43726,0.81445,0.70597,0.82019,0.45803,1.47457,1.22322,1.55477,0.00124037,0.00124037,0.00124037
6,2195.35,1.34013,1.10691,1.41695,0.8199,0.7296,0.82776,0.4483,1.47798,1.20624,1.51236,0.00119322,0.00119322,0.00119322
7,2591.77,1.32536,1.03868,1.40807,0.88085,0.82984,0.92277,0.53356,1.32116,0.98484,1.36613,0.00114606,0.00114606,0.00114606
8,3027.45,1.24057,0.93206,1.33718,0.81296,0.86118,0.88297,0.47284,1.42292,1.00141,1.47339,0.0010989,0.0010989,0.0010989
9,3507.63,1.25665,0.93983,1.35108,0.87417,0.85548,0.92065,0.53346,1.38585,0.94849,1.40215,0.00105174,0.00105174,0.00105174
10,4009.23,1.23611,0.88354,1.33545,0.88017,0.83893,0.92167,0.53242,1.42244,0.86302,1.43132,0.00100459,0.00100459,0.00100459
11,4437.72,1.22391,0.87323,1.33099,0.89591,0.88112,0.93194,0.5357,1.31881,0.84083,1.37126,0.00095743,0.00095743,0.00095743
12,4875.26,1.21269,0.8119,1.30038,0.87961,0.83683,0.91953,0.55248,1.2972,0.85021,1.34951,0.000910273,0.000910273,0.000910273
13,5300.92,1.17683,0.79479,1.29929,0.89737,0.86247,0.94767,0.56518,1.31566,0.76605,1.34012,0.000863116,0.000863116,0.000863116
14,5675.47,1.15488,0.77438,1.27787,0.86034,0.90469,0.94488,0.59676,1.25299,0.7135,1.2976,0.000815959,0.000815959,0.000815959
15,6115.81,1.12898,0.75142,1.25852,0.8894,0.92774,0.93293,0.56546,1.23065,0.70095,1.28576,0.000768802,0.000768802,0.000768802
16,6602.63,1.11929,0.73024,1.25856,0.8832,0.86713,0.90795,0.54147,1.26916,0.70945,1.3364,0.000721645,0.000721645,0.000721645
17,6939.36,1.11311,0.71467,1.24994,0.9157,0.88578,0.94953,0.58609,1.27684,0.66709,1.32929,0.000674488,0.000674488,0.000674488
18,7281.82,1.11942,0.70283,1.23565,0.89875,0.91039,0.95628,0.60046,1.24376,0.6567,1.28699,0.000627331,0.000627331,0.000627331
19,7591.71,1.09566,0.68435,1.23916,0.9076,0.91583,0.95307,0.57618,1.23552,0.66137,1.27271,0.000580174,0.000580174,0.000580174
20,7953.63,1.05971,0.66148,1.2226,0.88263,0.92903,0.92967,0.57341,1.21436,0.65119,1.26726,0.000533017,0.000533017,0.000533017
21,8310.11,1.04821,0.60569,1.23641,0.86965,0.92541,0.92861,0.57143,1.20733,0.64503,1.24953,0.00048586,0.00048586,0.00048586
22,8667.68,1.02571,0.56852,1.21514,0.90523,0.91283,0.95203,0.59965,1.21678,0.60821,1.24292,0.000438703,0.000438703,0.000438703
23,9030.9,1.02206,0.54968,1.20683,0.88046,0.90676,0.94566,0.58558,1.22189,0.61693,1.25443,0.000391546,0.000391546,0.000391546
24,9367.63,0.98567,0.53818,1.19995,0.89946,0.93847,0.95779,0.59957,1.21315,0.5984,1.25523,0.000344389,0.000344389,0.000344389
25,9672.01,0.95902,0.52212,1.17304,0.87691,0.92999,0.94825,0.60619,1.18589,0.58862,1.24751,0.000297232,0.000297232,0.000297232
26,26913.4,0.95935,0.51779,1.16922,0.90899,0.93473,0.95994,0.61647,1.17092,0.56991,1.22489,0.000250075,0.000250075,0.000250075
27,27355.3,0.93528,0.49747,1.1605,0.91655,0.9324,0.96321,0.60255,1.16782,0.56814,1.22323,0.000202918,0.000202918,0.000202918
28,27805.3,0.93127,0.49316,1.15682,0.89878,0.93706,0.95789,0.61748,1.17358,0.55122,1.23602,0.000155761,0.000155761,0.000155761
29,28231.4,0.9112,0.476,1.13377,0.90407,0.93473,0.95183,0.60733,1.16807,0.55627,1.22143,0.000108604,0.000108604,0.000108604
30,28631,0.89501,0.47289,1.12898,0.90054,0.94974,0.95593,0.61159,1.17318,0.55418,1.22285,6.1447e-05,6.1447e-05,6.1447e-05
